Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Barbados,874.081357051521,983.363705982949,1122.73777254159,1366.22768392364,1630.65792258887,1913.73014986427,2074.86530690974,2358.41859942931,2640.24094318846,3204.88496392313,4109.1973092031,4509.23630832045,4696.06752800332,4968.01177989858,5395.31907265024,5626.38374247518,6158.39507361136,6764.02676277504,7181.14751535325,7930.2787155814,7946.03042748529,7858.33768549541,7569.258886067,7960.57860681079,8350.51725976607,8766.07530367617,9338.28098168398,9866.29440303058,11122.8753315094,11651.8164652194,12028.0462026307,11992.7915347242,12116.9855005527,12442.6564005027,13276.596575732,14646.1652624058,15620.0694809668,17824.7580357406,18781.3314937994,18039.2462452986,18860.3833467154,19345.9953610319,19034.0707613256,19308.009167522,19277.942322201,18954.2913509445,19065.8069031252,19692.7606711615,20055.9157888362,20583.7265750853,18347.1109042308,18696.7858864351,22164.0259724849,23804.0249667063
Belarus,,,,,,,,,,,,,,,,,,,,,1912.40527705614,1948.22426723131,1796.28003079077,1695.88109587351,1531.38708722717,1404.63755094845,1474.90224952329,1439.83946555886,1561.12545477304,1250.00383462915,1077.95512506339,1285.23373832378,1528.20125425899,1879.84014718377,2457.54093176198,3230.50341028542,3977.09711323,4894.55116257868,6590.91389383624,5350.9391296058,6030.28132469118,6520.01147958337,6941.28458552511,7980.12708216562,8320.01259297846,5950.56732756092,5024.02650609409,5763.12399404502,6332.36502662865,6826.4229060162,6563.15269824548,7531.18762965948,8042.43501046945,7882.83343298023
Belgium,2773.1563803065,3085.0663813706,3838.08357322156,4912.89575902757,5755.46550099168,6737.088962579,7287.10124835738,8475.34848178749,10340.3311596602,11855.3264731496,12898.532223348,10631.6508209291,9337.82420480661,8833.88741289007,8440.66013423432,8731.05771064765,12139.2024038307,15091.8439074723,16367.1251985461,16526.9370225965,20613.422040794,21052.9639170737,23371.7083816531,22282.2697994822,24208.6170037316,28412.922330321,27488.0883410721,24820.0797930277,25337.4535782244,25252.152479314,23097.8342761967,23014.1002768523,25005.7364298907,30654.8340641617,35428.880837731,36808.7564107507,38703.3308680865,44320.0288503748,48304.5931709882,44855.0302015559,44031.5416948529,47759.2419792493,44871.8034888587,46960.9377580406,47991.2317758931,40889.6735701894,41849.8261570425,44029.8159307735,47480.7654501937,46709.9632417925,45900.3086801346,51724.3198918254,50974.7462603075,55048.9752346202
Belize,231.229969133231,288.142058441941,368.957467044612,591.638039522816,778.574289748539,886.835538942436,684.815546080448,862.168345757872,964.348673159689,1103.61246276768,1486.26622065048,1435.66950519538,1301.17875357265,1339.04594457987,1459.22243882932,1414.30378946983,1506.16947670602,1879.53487259102,2202.02229992008,2612.35197675133,2870.44937075313,3032.10868263473,3461.83511621453,3664.65614257422,3722.33258160595,3874.79732887247,3889.98005087728,3838.09358185481,3902.05583262647,4008.49933707774,4405.63788678524,4474.04013423035,4643.00820869579,4788.6684926833,4963.35490341863,5065.85964909145,5364.02972266029,5555.22657716988,5589.14642316197,5321.54820801372,5464.98572030789,5592.31057629439,5716.12772940128,5954.36419984369,6129.08829598507,6197.68554975262,6183.84594946601,6112.66508084094,6070.03993019941,6226.97568093637,5259.11891779168,6154.32198504601,7050.93140616736,7488.58913516222
Benin,105.073244440112,109.03127617973,131.22823641443,157.030695030415,164.723144997646,195.610511620435,203.206537094323,216.904265153696,256.528279512971,304.236099668639,378.180207230874,347.738481991373,329.510807082066,276.551557300943,257.742583577965,248.914869638743,308.594725809021,350.269281746131,352.243792930628,316.83179693488,377.34670890827,370.826490849354,406.469844400844,393.82792347259,266.541037965451,376.5705000962,431.635315769291,435.306906526031,493.957451324355,525.130649469571,487.424044571839,492.401454777772,546.463915757991,676.002863994565,758.695835504169,779.437772486721,809.147049237257,912.338300497282,1060.60252476853,1024.1028188983,973.244198544873,1059.41348819816,1071.5259097739,1168.92702330616,1204.39914845101,1002.41886882562,1010.53389609186,1054.97408141782,1151.74096952537,1130.74454227091,1200.19426631145,1318.65158107778,1266.42805173218,1394.17739947511
Bermuda,5094.31567032461,5719.46531830365,6354.16656250592,7254.98215162619,8397.79372738239,9255.46383331137,10347.6607968427,11208.2027118263,12098.6419681458,14042.7502102136,16813.5264658208,18278.2170490953,20245.7222681891,22388.7713638936,23401.49567692,25712.5713899941,28374.1502800193,30849.9028881187,32709.0757685321,34419.6116158168,35354.1909171459,36461.6969853753,36814.3314499974,38938.74710963,40245.7392641146,42952.0971004267,45374.751308244,48734.830682819,51624.5320668217,54395.9819383548,56542.956149472,59490.2452034202,63358.5658652763,67106.8028083224,71692.1519622732,77628.0984994658,85433.4118470892,96573.3848595461,103922.447946288,102639.702037285,104111.821530012,99049.0163023865,100213.487021965,101704.407131846,100961.579924129,104855.373203706,108747.363788239,111981.224228507,113204.820369413,115798.038700922,106973.172113324,112756.597667368,120897.31320947,125841.602522489
Bhutan,200.227027519256,207.789613302654,212.249840711874,230.765552884898,262.622322474958,237.210700910844,233.583645553226,249.787893513492,232.035380141497,251.230495546945,296.705364990827,323.144906592564,329.073401272797,357.768020142621,340.552072456223,338.721361160866,388.62301572633,453.769495263714,475.096286148173,443.201760794676,464.338376183868,388.711657853701,406.219807487051,398.176391568127,468.087191204626,527.629521910841,556.941601033266,645.472901853706,648.232420913516,714.987070070853,771.924910217656,812.238206515289,895.799488506908,1022.38239891363,1130.35935492525,1299.94938496134,1405.60715121122,1850.41568973749,1919.59773432312,1918.3960061551,2435.57980014593,2787.97969681367,2751.21286937211,2679.95215312398,2849.49996509287,2954.04079840954,3152.30905984505,3435.28806687399,3400.20416693662,3576.87989435259,3191.66907533974,3570.61258807863,3711.32769870679,3839.32933552313
Bolivia (Plurinational State of),220.065100098041,233.105320037631,266.336607678252,264.622688452116,427.861868348052,466.916280285201,522.900747409762,513.606206325948,548.280790171262,581.180869743004,613.251799556064,658.35766728856,656.997454081281,641.180561314439,648.964141536987,644.484401020801,627.217775278387,644.8440852095,672.607268146683,675.469910251772,682.67681029538,733.935418471903,759.571201393835,756.636956233671,774.035726801173,852.754094975703,922.11316821418,970.351781482669,1022.14500250981,979.34443977673,975.777113523238,930.168273641843,888.221329381776,893.013799133556,953.159865230351,1020.12319836128,1202.71155446426,1354.54903228426,1692.67255427953,1731.1817208661,1929.78382302163,2315.52105264553,2575.59857107717,2870.02376951987,3041.43503118388,2996.01289804775,3035.87347786498,3306.30661724551,3500.72642189887,3503.89601062372,3099.94219044941,3384.84486479626,3643.92826969027,3686.27996490635
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,1743.17062382074,1371.73881368796,1118.07908802594,929.872661913773,739.833544375363,535.306254970227,712.989875431453,944.143692119553,1037.03685012281,1137.54796372924,1338.48090266784,1387.89391832827,1606.54639179435,2033.94677577478,2452.68612487281,2739.61073607041,3166.12874205268,3931.49020345031,4841.69428632392,4539.91787751919,4506.47959708852,4982.69522315378,4693.78906420623,5034.56509225922,5206.06492037853,4662.25974710077,4928.56652762742,5345.02072776894,6047.84546945316,6122.37379162855,6130.30959141441,7295.34314309941,7655.59471643354,8638.66715554486
Botswana,113.151759778418,147.30741164945,183.390405113626,259.704821629913,343.589729984932,380.481288618231,391.509555841587,478.793434677898,536.848597254316,659.360579112122,909.26616777159,1004.48649984467,845.626986977606,885.537318674599,894.969473867085,746.553135697679,964.33858129705,1285.88931733465,1447.21417463683,2377.5856281341,2850.03870378716,2882.34962867387,2948.61241269558,2874.84721308544,2917.25459865583,3156.18232464375,3156.26897330599,3194.18076981354,2981.19639702109,3339.99577977038,3450.51309271391,3205.95409688514,3103.67990522023,4193.57055450162,4891.2883914159,5297.78226706109,5291.58656389116,5528.58119909531,5503.07018388936,5082.93322848855,6215.73239969851,7287.38247117635,6595.53657565168,6666.91069093156,7122.36405178712,6141.20205230375,6749.05928548941,7104.97432290907,7407.94257070879,7159.26691332262,6310.52246076463,7808.20600522596,8329.04009729773,7820.10363846959
Brazil,370.960194365262,404.32097778838,507.889299498963,701.864193069657,878.515697342301,1008.76536833029,1164.52375065066,1323.36754396417,1467.1368988348,1579.44705781811,1453.49037870272,1808.60854923732,1936.08336043966,1332.99270963546,1329.02546184324,1388.80798070616,1636.64921382722,1759.59251834458,1928.33960593712,2575.11846573407,2741.14458167269,2498.99872748029,2346.71307526082,2582.72581823326,3615.53198248903,4756.75013543303,5179.13052009735,5299.39794264623,5105.89246206423,3493.57192048599,3766.5478634479,3176.28975049508,2855.94017141361,3090.6068908051,3663.82262495907,4827.78165884019,5934.14561866647,7409.69003810098,8908.33338484077,8678.65847287323,11403.284003953,13396.6263161525,12521.7238452827,12458.8903398754,12274.994163196,8936.19558902779,8836.28546032576,10080.507872281,9300.66072914762,9029.83304412329,7074.19407493966,7972.53696076953,9281.3328213307,10377.5897719777
British Virgin Islands,1169.20930232558,993.321347201585,1022.85412799218,1143.09298736375,1350.15580331618,1467.59956628324,1584.4628816883,1624.31666666667,1871.90464817196,2318.34847241222,2850.76424079066,3022.28417109504,3425.64466068283,3720.35755860954,3942.94204368175,3967.55075740448,4174.27721113216,4814.09651965619,5232.47002724796,6027.07898550725,7634.1995669893,9684.81868165812,12124.9003796782,15885.6718464889,20148.2193496495,25413.0218049327,28039.1296002625,31782.7104393261,35675.9218213952,38953.6924480487,42370.9912553728,44480.1109828813,41885.241810546,36735.0588687088,37232.6955115598,41982.992943165,44742.2584003593,47134.0652448159,45412.7076612903,39414.7436990227,40381.2104787715,37401.6022291884,36805.0749711649,35704.8228874239,36479.2791699533,37154.0379152415,41495.3657240687,40053.2126364721,40017.8896038318,41588.9545267207,38474.4849872088,38618.2254489672,38394.3541585114,38626.5514172118
Brunei Darussalam,1664.37213547958,1798.77455082787,2392.22844329261,3691.14458469465,8833.0101623222,9283.03437463458,10924.4065822041,12856.2455969776,13944.3520590378,19518.4891582883,33262.3628394418,28565.4420949966,27026.779950006,23584.8658205098,22445.4115014942,20215.2100786112,11913.9798618953,13254.6421008225,12242.6475390263,13336.2292934969,15279.3758073085,15617.5420194408,17183.3445250862,16425.6616544856,15942.2129178782,18013.4316768699,19003.152960942,18858.0211035239,14365.4084928297,15955.9273268871,20371.3853516716,18617.9510799999,19037.7889799046,20961.1792822944,24716.6214198333,29425.527166664,34853.6992329082,36591.1080803956,42215.4515613902,30892.9619200042,34937.5433796892,46382.8267025653,46968.5964943344,44003.0760436958,41026.5044053559,30625.1321945682,26663.2996969126,28024.3791320156,30988.1290337224,30426.5838674057,26834.3508884089,31006.96447674,36632.9175087776,32962.9163015195
Bulgaria,1059.96767189199,1041.9887794702,1212.99684593625,1438.70126262804,1554.21238705192,1365.14172788692,1441.30251278678,1466.07537546862,1586.35345492262,1064.82703717042,1222.5259237012,1399.31332440817,1516.20172991128,1625.88072057634,1738.00441351021,1839.79810760744,1954.81304011646,2121.51370138907,2434.15466882736,2459.8770873144,2349.25979567387,966.225935531161,1107.10410445406,1409.18451907856,1270.28585456194,2272.37372265065,1482.86065586432,1377.14321394378,1846.97639310962,1690.38244044468,1655.64116763137,1788.9297761644,2086.3854965407,2709.36108785284,3375.44112957772,3881.54092996391,4499.89802033761,5856.32173940907,7229.78337602106,6947.61446768919,6815.24546013367,7815.86503248902,7420.6571153525,7683.73688870639,7902.16475610529,7072.90810445278,7566.45480079578,8362.16504398259,9431.17442173666,9839.34096580186,10175.1052352799,12274.4454107825,13259.750435737,15067.6614911486
Burkina Faso,90.2306943938851,90.5309308873228,113.622706735185,129.157632219332,139.592725472323,162.74483626149,152.744436874796,180.304224195938,226.643506134364,296.352350109072,312.935400459965,282.186262386486,251.772945269438,223.612330141641,194.211946702125,220.517771272172,281.19000448266,318.397159330046,342.175433448492,333.147617968152,384.749678393912,379.176747115553,396.10453209369,368.286903010355,212.73033620058,260.306492532971,275.805948113879,254.35441622821,283.53084166365,292.836958543212,248.908526906981,259.485223283796,285.654087846732,362.373899887599,403.812837205996,441.164148309175,455.513655705696,514.684450668098,619.43753264974,601.569520239495,624.957251942295,725.024768155731,731.470138221594,759.762065397288,764.861675302708,630.124750770847,663.742364772298,709.091536397998,777.465617956646,764.85307745807,825.237039402762,895.535288307543,836.118304710601,882.68980984164
Burundi,69.5202658437083,69.8082379365038,68.1077047077918,84.5770786788398,93.5243569120429,109.27470354981,117.78969525608,136.370008477574,149.650806564944,188.611582275955,216.982819762294,217.507971820596,223.32873118644,230.211944406123,204.243197399794,232.64609892862,240.496249931812,221.440280630696,202.992284143236,206.810278552394,205.532342069859,204.668728219915,185.511723140389,171.725357921219,187.057816975407,164.915645262294,143.144714353815,160.271417203492,144.444675443757,127.525670273822,109.596904929792,99.8355906550612,92.041237798988,84.5475382653053,92.9992531706931,147.234131906204,161.892755640319,166.162631580756,189.502173674109,198.431796650679,216.727965207652,230.069434925139,231.098718976607,234.844831699177,250.544731674453,254.4024700031,260.696625494712,286.599031735713,279.719590157947,274.862619154566,273.548528961108,288.64332648242,328.872716075275,289.296488995284
Cabo Verde,253.367329907906,279.833581401078,312.954759038014,383.012920090636,380.320264416367,438.014404847051,403.974957285584,374.878988709879,426.98687191834,453.022765822027,500.380972242362,483.840011177197,480.76212361439,466.52057753074,438.497402585104,451.073970405019,615.659884080981,751.651723566262,832.883656519855,829.794510418926,933.153891921987,949.562314589777,1036.19426830228,1022.91225178804,1133.98446781881,1334.48500138585,1349.1318381396,1296.36653396114,1359.38290471328,1531.98935943769,1397.28039815206,1408.53490671902,1548.71989280719,2027.51712492562,2305.42972269024,2424.37639047062,2764.161275643,3324.57674562855,3908.64886658646,3659.72047606367,3579.46004522119,4002.0138448527,3736.81516211488,3960.97596791345,3985.60706548134,3415.06268302744,3608.96606551364,3893.09572291977,4294.965104563,4380.78119164041,3539.22662027151,3971.44407449804,4432.47313569393,4961.17170720588
